,contested,democrat_name,democrat_percent,democrat_votes,democrat_winner,district,other_candidates,republican_name,republican_percent,republican_votes,republican_winner,state_name
89,True,K. McGurn,0.397,135688.0,False,3,"[{'name': 'T. Wells', 'winner': False, 'votes': 12438, 'percent': 0.036000000000000004}]",T. Yoho (i),0.5660000000000001,193261.0,True,Florida
90,True,D. Bruderly,0.276,112253.0,False,4,"[{'name': 'G. Koniz', 'winner': False, 'votes': 8990, 'percent': 0.022}]",J. Rutherford,0.7020000000000001,286018.0,True,Florida
91,True,A. Lawson,0.642,193430.0,True,5,[],G. Smith,0.358,107784.0,False,Florida
92,True,B. McCullough,0.41400000000000003,150677.0,False,6,[],R. DeSantis (i),0.586,213180.0,True,Florida
93,True,S. Murphy,0.515,181758.0,True,7,[],J. Mica (i),0.485,171412.0,False,Florida
94,True,C. Westbrook,0.325,126962.0,False,8,"[{'name': 'B. Stinson', 'winner': False, 'votes': 16924, 'percent': 0.043000000000000003}]",B. Posey (i),0.631,246257.0,True,Florida
95,True,D. Soto,0.5750000000000001,194963.0,True,9,[],W. Liebnitzky,0.425,144281.0,False,Florida
96,True,V. Demings,0.649,198309.0,True,10,[],T. Lowe,0.35100000000000003,107423.0,False,Florida
97,True,D. Koller,0.316,124599.0,False,11,"[{'name': 'B. Riggs', 'winner': False, 'votes': 11961, 'percent': 0.03}]",D. Webster (i),0.654,257881.0,True,Florida
98,True,R. Tager,0.314,115909.0,False,12,[],G. Bilirakis (i),0.686,253347.0,True,Florida
99,True,C. Crist,0.519,184371.0,True,13,[],D. Jolly (i),0.481,170964.0,False,Florida
100,True,K. Castor (i),0.618,194851.0,True,14,[],C. Quinn,0.382,120584.0,False,Florida
101,True,J. Lange,0.425,134945.0,False,15,[],D. Ross (i),0.5750000000000001,182498.0,True,Florida
102,True,J. Schneider,0.402,154854.0,False,16,[],V. Buchanan (i),0.598,230187.0,True,Florida
103,True,A. Freeman,0.342,115801.0,False,17,"[{'name': 'J. Sawyer', 'winner': False, 'votes': 13336, 'percent': 0.039}]",T. Rooney (i),0.618,209135.0,True,Florida
104,True,R. Perkins,0.43,161328.0,False,18,"[{'name': 'C. Spalding', 'winner': False, 'votes': 12451, 'percent': 0.033}]",B. Mast,0.536,201011.0,True,Florida
105,True,R. Neeld,0.341,123625.0,False,19,[],F. Rooney,0.659,238975.0,True,Florida
106,True,A. Hastings (i),0.803,220452.0,True,20,[],G. Stein,0.197,54079.0,False,Florida
107,True,L. Frankel (i),0.627,208999.0,True,21,"[{'name': 'M. Trout', 'winner': False, 'votes': 7148, 'percent': 0.021}]",P. Spain,0.352,117273.0,False,Florida
108,True,T. Deutch (i),0.589,197396.0,True,22,[],A. McGee,0.41100000000000003,137691.0,False,Florida
109,True,D. Wasserman Schultz (i),0.5670000000000001,180979.0,True,23,"[{'name': 'D. Endriss', 'winner': False, 'votes': 5100, 'percent': 0.016}, {'name': 'L. Milstein', 'winner': False, 'votes': 3835, 'percent': 0.012}]",J. Kaufman,0.405,129400.0,False,Florida
110,False,F. Wilson (i),,,True,24,[],,,,False,Florida
